product_id,title,publisher,developer,short_description,category,original_release_date,gamepass_added_date,rating_7_days_count,rating_30_days_count,rating_alltime_count,rating_7_days_avg,rating_30_days_avg,rating_alltime_avg,Rating_play_count_7_days,Rating_play_count_30_days,Rating_play_count_alltime,has_gamepass_remediation,current_price
9NQMVR9WL9FW,Voidtrain,HypeTrain Digital,HypeTrain Digital,"Become a crew member of an Interdimensional Express Train! Discover a new world full of mysterious creatures, enemies and places. Upgrade and customize your train, gather new materials and build better weapons. Play solo or online сo-op with up to 4 people.",Unknown,,,17,124,861,3.5,3.4,3.5,0.0,0.0,0.0,True,29.99
9NM2T0DMP4XV,Whiskerwood (Game Preview),Hooded Horse,Minakata Dynamics,"Establish a home for your industrious mice under the oppressive paw of your cat overlords in this city builder featuring complex simulations, intricate production chains, and the age-old rivalry between cat and mouse.",Unknown,2025-11-06 14:00:00+00:00,,1,29,196,3.0,4.1,3.5,0.0,0.0,0.0,True,29.99
9PNKG0WBL61W,Pacific Drive,Kepler Interactive,Ironwood Studios ,"Face the supernatural dangers of the Olympic Exclusion Zone with a car as your only lifeline in this driving survival adventure! Scavenge resources, load up your trusty station wagon, and drive like hell to make it through alive.",Unknown,2025-10-23 19:00:00+00:00,,29,157,1395,3.3,3.7,3.7,0.0,0.0,0.0,True,29.99
9NPDN9R45JX4,1000xRESIST,Fellow Traveller,sunset visitor 斜陽過客,"1000xRESIST is a thrilling sci-fi adventure. The year is unknown, and a disease spread by an alien invasion keeps you underground. You are Watcher. You dutifully fulfil your purpose in serving the ALLMOTHER, until the day you discover a shocking secret that changes everything. ",Unknown,2025-11-04 16:00:00+00:00,,47,223,989,3.8,4.2,3.6,0.0,0.0,0.0,True,13.99
9MZ8B96NDG1T,Super Fantasy Kingdom (Game Preview),Hooded Horse,Super Fantasy Games,"Rebuild your kingdom and explore a vibrant fantasy world in this roguelite city builder. Defeat hordes of monsters with a unique team of defenders as you harvest, build, mine, cook, brew, and grow. But if your defenses should fail, be prepared to watch it all burn!",Unknown,2025-10-24 13:00:00+00:00,,0,12,215,0.0,4.1,3.7,0.0,0.0,0.0,True,14.99
9MW581HCJPM6,Evil West,Focus Entertainment,Flying Wild Hog,"A dark menace consumes the Old West. In solo or coop, fight with style in visceral, explosive combat against bloodthirsty monstrosities. Eradicate the vampiric hordes with your lightning-fueled gauntlet and become a Wild West Superhero.",Unknown,2022-11-22 05:00:00+00:00,,26,91,5917,4.0,4.0,3.9,0.0,0.0,0.0,True,14.99
9NCJWHHMVHR0,Keeper,Xbox Game Studios,Double Fine Productions,"Keeper is a story told without words, in which a long-forgotten lighthouse is awakened and embarks upon an unexpected journey into realms beyond understanding.",Unknown,2025-10-17 15:00:00+00:00,,53,334,3710,4.3,4.4,4.4,0.0,0.0,0.0,True,23.99
9WZDNCRFHWCN,Microsoft Minesweeper,Xbox Game Studios,Xbox Game Studios,"Keep your mind sharp in Microsoft Minesweeper! The original and iconic puzzle game comes to life with MULTIPLE Play Modes, MORE Daily Challenges, Achievements, NEW Themes, and ALL-NEW Auto-Chording. Fun for all ages!",Unknown,2012-07-27 22:26:23.456552300+00:00,,37,133,110171,3.8,3.6,4.3,0.0,0.0,0.0,False,0.0
9PHGK0538TXM,Pax Dei,Mainframe Industries,Mainframe Industries,"Welcome to a vast, social sandbox MMO inspired by the legends of the medieval era. Here, myths are real, ghosts exist, and magic is unquestioned. Join thousands of players as you explore the land, build your home, forge your reputation, and craft your own stories.
What world will you make?",Unknown,2025-10-16 15:00:00+00:00,,8,44,479,3.6,2.4,2.0,0.0,0.0,0.0,True,29.99
9PDBV8R4TSNH,The Grinch: Christmas Adventures,Outright Games Ltd.,Casual Brothers Ltd.,Have a great Grinchy time trying to stop Christmas in this festive platformer and help the Grinch’s heart grow three sizes along the way!,Unknown,2023-10-13 04:00:00+00:00,,0,1,62,0.0,5.0,4.5,0.0,0.0,0.0,False,0.0
9NCNBWZSHZR5,Baldur's Gate and Baldur's Gate II: Enhanced Editions,Beamdog,Beamdog,,Unknown,2019-10-15 04:00:00+00:00,,3,14,772,2.7,3.1,3.9,0.0,0.0,0.0,True,49.99
9N3M5D5ZSW34,Little Rocket Lab,No More Robots,Teenage Astronauts,"Transform your childhood home as you build brilliant factories and forge lifelong friendships, then reach for the skies and finally finish your family's dream - your mother's precious rocket ship. Roll up your sleeves, it turns out that saving this town really IS rocket science!",Unknown,2025-10-07 00:00:00+00:00,,14,56,768,4.6,4.5,4.0,0.0,0.0,0.0,True,19.99
9NR0GCBSLDW4,Supermarket Simulator,NAISU,Nokta Games,"Run your supermarket! Stock shelves, set prices, take payments, hire staff, expand, handle shoplifters, design layout, deliver orders. Buy goods locally or online and bring them to customers yourself.",Unknown,2025-10-08 13:00:00+00:00,,73,306,4446,3.5,3.5,3.0,0.0,0.0,0.0,True,19.99
9N221ZTFGQB0,SOPA - Tale of the Stolen Potato,"StudioBando, Inc.","StudioBando, Inc.","Miho steps into the pantry to fetch a potato for his grandma and falls into a magical world full of wonders. Meet quirky characters, venture through the depths of South America, and learn the importance of the things we pass along in this unforgettable emotional narrative adventure.",Unknown,2025-10-07 00:00:00+00:00,,4,32,438,2.0,3.6,3.5,0.0,0.0,0.0,True,14.99
9MT5NJ5W7B8Z,Hogwarts Legacy,Warner Bros. Games,Avalanche Software,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",Unknown,2023-02-10 05:00:00+00:00,,80,383,17341,4.3,4.2,4.5,0.0,0.0,0.0,True,69.99
BNVMH8NVCRCT,Assassin's Creed II,Ubisoft,Ubisoft Montreal,"Betrayed by the ruling families of Italy, a young man embarks upon an epic quest for vengeance.To eradicate corruption and restore his family's honor, he will study the secrets of an ancient Codex, written by Altaïr.To his allies, he will become a force for change - fighting for freedom and justice.To his enemies, he will become a dark knight - dedicated to the destruction of the tyrants abusing the people of Italy.His name is Ezio Auditore da Firenze.He is an Assassin.",Unknown,2010-09-28 00:00:00+00:00,,4,13,4159,4.0,3.8,4.4,0.0,0.0,0.0,False,19.99
BPMJ413V6BB2,Assassin's Creed® III Remastered,Ubisoft,Ubisoft,"Assassin's Creed® III Remastered is included for free in Assassin's Creed® Odyssey Season Pass.
Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered, with enhanced graphics and improved gameplay mechanics.  Also includes Assassin's Creed Liberation remastered and all solo DLC content.",Unknown,2019-03-29 00:00:00+00:00,,16,66,3568,3.8,3.6,3.7,0.0,0.0,0.0,True,9.99
BRKMHZX1RCF2,Assassin's Creed IV Black Flag,Ubisoft,Ubisoft Montreal,It is 1715. Pirates rule the Caribbean and have established a lawless Republic. Among these outlaws is a fearsome young captain named Edward Kenway.,Unknown,2013-11-22 00:00:00+00:00,,26,85,53642,4.7,4.3,4.4,0.0,0.0,0.0,True,8.99
BVT23T7MDRQ8,Assassin’s Creed® IV Black Flag™ – Freedom Cry,Ubisoft,Ubisoft Montreal,"Play as Adewale, an ex-slave turned Assassin fighting for freedom with the help of his own Pirate crew.",Unknown,2013-12-17 00:00:00+00:00,,1,5,2939,5.0,3.8,4.1,0.0,0.0,0.0,True,9.99
BTS5B1V6434S,Assassin's Creed Brotherhood,Ubisoft,Ubisoft Montreal,"BE A LEGENDLIVE AND BREATHE AS EZIO, A LEGENDARY MASTER ASSASSIN, IN HIS ENDURING STRUGGLE AGAINST THE POWERFUL TEMPLAR ORDER.  JOURNEY INTO ITALY’S GREATEST CITY, ROME, CENTER OF POWER, GREED AND CORRUPTION TO STRIKE AT THE HEART OF THE ENEMY.",Unknown,2010-11-16 00:00:00+00:00,,1,2,154,5.0,5.0,4.5,0.0,0.0,0.0,False,0.0
BZQQ7HX8PZ05,Assassin's Creed® Chronicles: China,Ubisoft,Climax Studios,"Exact Shao Jun’s vengeance on the Chinese Emperor in stunning 16th century China with fresh 2.5D stealth gameplay:

• Embody a stealthy Assassin with unique combat skills and gear like the Shoe Blade and the Rope Dart
• Discover the story of Shao Jun, the last remaining Assassin of the Chinese Brotherhood
• Dive into a beautiful Chinese setting by travelling across the great empire of China",Unknown,2015-04-21 00:00:00+00:00,,0,5,1742,0.0,4.4,3.3,0.0,0.0,0.0,True,9.99
BTMS1PXLQ6P6,Assassin's Creed® Chronicles: India,Ubisoft,Climax Studios,"Embody Arbaaz in his quest for retribution through a colourful depiction of Colonial India in 2.5D stealth gameplay. 

• Travel across an amazing 19th Century India and its legendary landmarks. 
• Experience the thrill of a stealthy assassin with a unique set of skills and weapons such as the double kill moves and the chakram.
• Discover a brand new mode with stealth, speed and assassination rooms",Unknown,2016-01-12 00:00:00+00:00,,0,2,3440,0.0,4.0,3.0,0.0,0.0,0.0,True,9.99
BXQQQQ8HRBSF,Assassin's Creed® Chronicles: Russia,Ubisoft,Climax Studios,Experience the thrill of being a master Assassin in 2.5D. Sneak and hide to avoid detection and fool enemies using whistles and disguises.,Unknown,2016-02-09 00:00:00+00:00,,1,4,1505,1.0,2.5,2.9,0.0,0.0,0.0,True,9.99
BX2JJ48F0CKR,Assassin's Creed Revelations,Ubisoft,Ubisoft Montreal,"In Assassin’s Creed® Revelations, master assassin Ezio Auditore walks in the footsteps of the legendary mentor Altair, on a journey of discovery and revelation. It is a perilous path – one that will take Ezio to Constantinople, the heart of the Ottoman Empire, where a growing army of Templars threatens to destabilize the region.In addition to Ezio’s award-winning story, a refined and expanded online multiplayer experience returns with more modes, more maps and more characters.",Unknown,2011-11-15 00:00:00+00:00,,0,2,1012,0.0,5.0,4.2,0.0,0.0,0.0,False,19.99
BWT5L9P3L60X,Assassin’s Creed® Rogue Remastered,Ubisoft,Ubisoft Sofia,"Play the darkest chapter in Assassin’s Creed lore, remastered for next-gen platforms. Witness the cataclysmic events that force a young Assassin to become the most feared Assassin hunter in history. Assassin’s Creed Rogue has also been remastered for Xbox One X (featuring native 4K) and Xbox One (featuring 1080p). Bonus content includes two missions, weapon packs, unique outfits, and more.",Unknown,2018-03-20 00:00:00+00:00,,6,45,2123,3.3,4.0,4.3,0.0,0.0,0.0,True,29.99
BXVQ8M4J9HNM,Assassin's Creed Syndicate,Ubisoft,,"London, 1868. Lead your underworld organization in the midst of the Industrial Revolution to break the corrupt stranglehold on the city in a visceral adventure filled with action, intrigue, and brutal combat.",Unknown,2015-10-23 00:00:00+00:00,,15,49,16636,4.0,4.2,4.2,0.0,0.0,0.0,True,4.49
BQ9S8ZKCT3Q7,Assassin's Creed® The Ezio Collection,Ubisoft,Ubisoft Montreal. HD enhancement by VIRTUOS.,"Make history as the legendary Master Assassin, Ezio Auditore da Firenze, in this compelling collection including Assassin’s Creed 2, Assassin’s Creed Brotherhood and Assassin’s Creed Revelations acclaimed single-player campaigns plus all DLCs, with enhanced graphics. Also enjoy two short movies, Assassin’s Creed Lineage® and Assassin’s Creed Embers™  for the complete Ezio experience.
Does not include multiplayer content.",Unknown,2016-11-15 00:00:00+00:00,,9,44,4713,5.0,4.3,4.5,0.0,0.0,0.0,True,11.99
BQ9Q620NC614,Child of Light,Ubisoft,Ubisoft Montreal,"Child of Light is an adventure inspired by fairy tales. The story is the journey of Aurora, the daughter of a duke, who is transported to the world of Lemuria.",Unknown,2014-04-30 00:00:00+00:00,,2,9,9743,2.0,3.8,4.3,0.0,0.0,0.0,True,14.99
C3NHWKLR94M9,Hungry Shark® World,Ubisoft,Future Games of London – A Ubisoft Studio,"Experience life as a shark and eat everything that gets in your way in this aquatic adventure. Take on fearsome bosses as you venture into the depths to find trapped sharks, hidden treasures, and more.  Unleash your inner shark in this jawsome arcade adventure! Take on fearsome bosses as you venture into the depths to find trapped sharks, hidden treasures, and more.",Unknown,2018-07-17 00:00:00+00:00,,0,10,892,0.0,4.1,4.0,0.0,0.0,0.0,True,9.99
9P8H220G3S4P,New MONOPOLY®,Ubisoft,,"NEW MONOPOLY® is back with a fresh look and an improved game experience. Buy, sell, trade properties, and grow your empire in a fully animated 3D city that transforms from sunlit days to stormy nights as you play.",Unknown,2024-09-26 04:00:00+00:00,,14,55,444,2.2,1.9,2.4,0.0,0.0,0.0,True,11.99
9PGMQ7WTM74B,Prince of Persia™: The Lost Crown - Complete Edition,Ubisoft,,"Discover the critically acclaimed Metroidvania with the Complete Edition, including the base game, the Mask of Darkness Story DLC, 3 outfits for Sargon, the Prosperity Bird Amulet, and a digital adventure guide. 
Manipulate time and space, master acrobatic combat, and engage in epic boss battles.",Unknown,2024-09-17 04:00:00+00:00,,3,8,70,3.7,3.5,4.0,0.0,0.0,0.0,True,15.99
BXZ0JDCPRV6C,Rabbids Invasion : The Interactive TV Show,Ubisoft,Ubisoft Barcelona,"RABBIDS® INVASION, the kids’ hit animated TV show, is now a video game!
Kids can watch a selection of 20 episodes to play and interact with the Rabbids.

Over 400 Wacky Full-Motion Activities
Have a virtual egg battle with the Rabbids, try to match their poses, scream out the iconic “bwaah”…

Play With Family and Friends 
Become the champion of the episode or ally with the other players to unlock new content!

Augmented Reality
Interact and dance with the Rabbids in your own living room!",Unknown,2014-11-18 00:00:00+00:00,,0,1,1573,0.0,5.0,3.9,0.0,0.0,0.0,True,19.99
9PLF73SS7M6J,Rabbids®: Party of Legends,UBISOFT,UBISOFT CHENGDU,"Embark on a legendary journey with the Rabbids in this hilarious party game! Join them on an incredible quest, filled with hilarious moments and colorful characters. Gather with friends and family and enjoy a multitude of ridiculously fun mini-games in the most epic Rabbids party yet.",Unknown,2022-06-30 00:00:00+00:00,,3,12,241,3.3,2.8,3.8,0.0,0.0,0.0,True,39.99
C26K4DVGR45B,Rayman Legends,Ubisoft,Ubisoft Montpellier,"The Glade of Dreams is in trouble once again! The nightmares multiplied and spread, creating new monsters even more terrifying than before!",Unknown,2014-02-18 00:00:00+00:00,,4,40,15674,4.0,4.3,4.4,0.0,0.0,0.0,True,19.99
BTDRTXBKDBRR,Risk: Urban Assault,Ubisoft,Zoë Mode,"Lead your troops to victory with Risk Urban Assault! In a post-apocalyptic world, rally your armies and march across some of the most famous cities around the globe. Be cunning and play strategically to defeat driven opponents. Use diplomacy, build facilities or take advantage of your commanders’ special abilities, you now have smart new ways to establish your domination!",Unknown,2016-08-02 00:00:00+00:00,,1,14,1002,1.0,1.8,3.4,0.0,0.0,0.0,True,14.99
BT3KQ8HLLZ6K,Starlink: Battle for Atlas™,Ubisoft,Ubisoft Toronto,"In Starlink: Battle for Atlas, lead a group of interstellar pilots as you build your own starship, explore the Atlas star system, and battle the vile Grax and his Forgotten Legion.",Unknown,2018-10-16 00:00:00+00:00,,0,1,151,0.0,4.0,4.0,0.0,0.0,0.0,True,29.99
C350VBGGCL6P,STEEP,Ubisoft,Ubisoft Annecy,"Ride the massive open world of the Alps, where the powder is always fresh and the run never ends. 
Defy and master the mountain alone or with friends on skis, wingsuits, snowboards and paragliders. Record and share your best stunts.",Unknown,2016-12-02 00:00:00+00:00,,4,19,3578,3.8,3.5,3.3,0.0,0.0,0.0,True,29.99
BV05F8VT7JJ4,The Crew® 2,UBISOFT,IVORY,"JOIN A COMMUNITY OF 30 MILLION PLAYERS! Take on the American motorsports scene as you explore and dominate the land, air, and sea across the USA. Pick your favorite vehicles and test your skills in a wide range of driving disciplines.

New: play The Crew 2 offline or online with the new Hybrid mode, available now! Enjoy both the original online experience and a new way to play solo.",Unknown,2018-06-29 00:00:00+00:00,,13,59,8036,3.5,3.1,3.0,0.0,0.0,0.0,True,5.99
9N4RM9DX29H1,The Settlers®: New Allies,UBISOFT,BLUE BYTE,The Settlers®: New Allies is a strategy game with an in-depth build-up experience and real-time strategic battles.,Unknown,,,3,13,359,1.7,2.1,2.4,0.0,0.0,0.0,False,0.0
9N60PDBXC0MB,Tom Clancy's Ghost Recon® Breakpoint Deluxe Edition,UBISOFT,UBISOFT,"Become a Ghost, an elite spec ops soldier, tasked with a special mission to Auroa. The remote archipelago has lost contact with outside world due to Skell Technology turning hostile. The Wolves, a rogue spec ops team, lead by your ex-brother in arms, have taken over and are hunting you down. Lead your team through the island landscape and save the civilians without being noticed.",Unknown,2021-09-29 04:00:00+00:00,,0,0,184,0.0,0.0,3.9,0.0,0.0,0.0,True,6.99
9NK1FQJ1SMCB,Tom Clancy’s Rainbow Six® Extraction,UBISOFT,UBISOFT MONTREAL,"For decades, Team Rainbow has been the shield against the worst global threats imaginable. Now, we face the greatest terror yet: a lethal, mutating alien parasite. 
•	Includes Buddy Pass: Invite 2 friends to play with you for FREE for 14 days
•	Play alone or with friends from any platform
•	69 guns, 25 gadgets, 18 operators with progression levels, 12 maps, 13 mutating enemies, & free post-launch",Unknown,2022-01-20 00:00:00+00:00,,0,0,407,0.0,0.0,2.6,0.0,0.0,0.0,True,9.99
BRGPD72KHM3Q,Tom Clancy's The Division,Ubisoft,MASSIVE ENTERTAINMENT,"You’re part of the Division, an autonomous unit of tactical agents trained to operate independently. Your mission: protect what remains and restore hope.

The Division is an online-only game, an online connection is required to download and play the game.",Unknown,2016-03-08 00:00:00+00:00,,15,67,86798,3.4,3.2,4.2,0.0,0.0,0.0,True,29.99
C3SQQG5Q6Z64,Trackmania® Turbo,Ubisoft,Nadeo,"Available for the very first time on Xbox One, Trackmania offers you the ultimate arcade racing universe where everything is about reaching the perfect racing time.
Test your skills in over 200 tracks, experience immediate fun by challenging your friends at home (offline splitscreen) or online.
The competition lasts forever: design and share your own tracks with other players in the Trackbuilder!",Unknown,2016-03-22 00:00:00+00:00,,3,8,4212,2.3,3.5,3.9,0.0,0.0,0.0,True,39.99
C0RNBFHQ7X96,Transference™,Ubisoft,Ubisoft,Jump into an escape room set in a deranged mind and experience a first-person exploration game in a chilling new dimension. Shift between three perspectives and attempt to unravel the mystery hiding in this mind-bending psychological thriller.,Unknown,2018-09-18 00:00:00+00:00,,5,37,447,2.2,3.8,3.9,0.0,0.0,0.0,True,24.99
BVCRSR6XSDW5,Trials Fusion,Ubisoft Entertainment,RedLynx,"Trials Fusion combines simple yet addictive physics-based motorbike racing with the social and visual breakthroughs of the new generation of console gaming. Its frenzied multiplayer, global leader boards, track creation and sharing, and an all-new FMX tricks system ensure even more addictive gameplay.  Discover what has made the Trials series from RedLynx a hit with millions of players around the world.",Unknown,2014-04-16 00:00:00+00:00,,3,4,13293,3.7,3.2,3.6,0.0,0.0,0.0,True,19.99
BPPR6D5C2GLF,Trials of the Blood Dragon,Ubisoft Entertainment,RedLynx,"2019 - NOW.

12 years on from Vietnam War 2. Roxanne and Slayter, the offspring of the legendary Rex Power Colt are going to Vietnam War 4 to save freedom, and save the world.
Discover an epic single player experience with the unique combination of competitive, precise Trials gameplay- and rather less precise gun toting, neon-drenched Blood Dragon action.

The future is back. Are you ready?",Unknown,2016-06-13 00:00:00+00:00,,0,4,1996,0.0,1.5,2.8,0.0,0.0,0.0,True,14.99
BNSDHDK45KBR,UNO™,Ubisoft Entertainment,Ubisoft Chengdu,"Dive into the iconic game that we all grew up with! Match cards by color, number, or symbol, play action cards, and race to empty your hand first. Spice things up with fun House Rules and customize your game with colorful boards, card decks, and avatars. Play solo or challenge your friends locally or online with up to 4 players for endless fun!",Unknown,2016-08-16 00:00:00+00:00,,23,89,13679,2.6,2.1,2.0,0.0,0.0,0.0,True,3.99
C0X15TR4NP0B,Valiant Hearts: The Great War,Ubisoft,Ubisoft Montpellier,Valiant Hearts - The Great War is the story of 4 crossed destinies and a broken love in a world torn apart.,Unknown,2014-06-25 00:00:00+00:00,,5,35,15692,5.0,4.7,4.6,0.0,0.0,0.0,True,14.99
BR76VBTV0NK0,Wheel Of Fortune®,Ubisoft,Ubisoft,"Play Wheel of Fortune® and enjoy an authentic TV-show experience.

Spin the wheel and compete to solve more than 4,000 unique word puzzles!
Enjoy a variety of game modes: Classic mode, Quick mode and Family mode.
Complete levels as you play and unlock new customization items so you never play the same game twice.

Train your brain and challenge yourself everyday!",Unknown,2017-11-07 00:00:00+00:00,,3,24,476,1.3,1.9,2.4,0.0,0.0,0.0,True,19.99
BR03N9C6Z9G6,ZOMBI,Ubisoft,STRAIGHT RIGHT,"London is falling. Are you prepared?  For the second time in history, a great plague has shrouded London in a fog of death. The nail-biting survival experience of ZombiU™ is now available to everyone on Xbox One.  Zombi takes the power of the latest generation of hardware to bring you a new level of horror. Test your will to survive, but beware: one wrong move can cause you to lose everything.",Unknown,2015-08-18 00:00:00+00:00,,2,13,6208,4.5,3.8,3.7,0.0,0.0,0.0,True,19.99
BX7XFZ51XTW8,Lara Croft and the Guardian of Light,Crystal Dynamics,Crystal Dynamics,"Experience the first ever co-op action-adventure game featuring Lara Croft. Team up with a friend or go at it alone as you traverse and solve deadly traps, fight hordes of undead enemies, and collect over 60 artifacts and relics.  Lara Croft and the Guardian of Light offers fast-paced action and breathtaking visuals shown through an isometric view.",Unknown,2010-08-05 00:00:00+00:00,,0,7,604,0.0,4.6,3.6,0.0,0.0,0.0,True,2.24
9P0P58R3NQDS,Peppa Pig: World Adventures,Outright Games Ltd.,Petoons Studio Ltd,"Play in the bigger, wider world of Peppa Pig, and bring your family into the story! Make pizza in Italy, walk on Hollywood Boulevard, climb the Eiffel Tower and more on your world tour. Create your own unique and dazzling family home, and discover more characters, quests and fun than ever before!",Unknown,2023-03-17 04:00:00+00:00,,13,36,480,4.4,3.9,4.1,0.0,0.0,0.0,True,13.99
9NJ5WV40PD08,Visions of Mana,SQUARE ENIX,SQUARE ENIX,Explore a world of elemental spirits and adventure in the latest Mana action-RPG.,Unknown,2024-09-30 16:00:00+00:00,,10,37,996,3.5,4.0,3.8,0.0,0.0,0.0,True,29.99
9N2Q1NCX7HVC,SWORN - Digital Deluxe Edition,Team17,Windwalk Games,"Take the battle to Arthur in style with Deluxe Edition, giving you access to the ultimate collection of cosmetic upgrades for SWORN.",Unknown,2025-09-23 00:00:00+00:00,,0,0,4,0.0,0.0,5.0,0.0,0.0,0.0,False,34.99
9NQNRZG07H94,ENDLESS™ Legend 2 (Game Preview),Hooded Horse,AMPLITUDE Studios,"Lead your people to victory on an ever-evolving world in this strategy game featuring asymmetric factions led by powerful heroes. Build your empire, wield political influence, and raise grand armies to wage war in a race to uncover dark secrets buried within the planet.",Unknown,2025-09-22 13:00:00+00:00,,2,6,118,2.5,3.0,3.4,0.0,0.0,0.0,True,49.99
9P8DL6W0JBB8,Hades,Supergiant Games,Supergiant Games,Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion. ,Unknown,2021-08-13 04:00:00+00:00,,23,98,12465,4.0,4.2,4.6,0.0,0.0,0.0,True,24.99
9NS86BQ33SPX,Wobbly Life,RubberBandGames,RubberBandGames,"Wobbly Life is a vibrant open-world physics sandbox. Play with your friends online or in local co-op, with exciting jobs, mini games and wacky story missions. Earn cash to spend in the world on clothes, vehicles and houses. There is a whole Wobbly World out there to explore!",Unknown,2021-07-16 00:00:00+00:00,,42,148,5889,4.7,4.6,4.3,0.0,0.0,0.0,True,18.74
9PHGQPRBBSXK,Deep Rock Galactic: Survivor,Ghost Ship Publishing,Funday Games,"DEEP ROCK GALACTIC: SURVIVOR is a single player survivor-like auto-shooter. Take on hordes of lethal aliens, mine riches, and unlock powerful upgrades to survive, as you wield the full arsenal of Deep Rock Galactic. It's one dwarf against all of Planet Hoxxes!",Unknown,2025-09-17 11:00:00+00:00,,18,92,2050,3.9,3.8,4.1,0.0,0.0,0.0,True,12.99
9N4J937WLFPZ,RoadCraft,Focus Entertainment,Saber Interactive,"As the leader of a company specialized in restoring sites devastated by natural disasters, use your construction machinery to restart the local industry. Clear debris and faulty equipment, rebuild roads and bridges damaged by weather, and much more! ",Unknown,2025-05-20 04:00:00+00:00,,23,91,1779,3.4,3.4,3.6,0.0,0.0,0.0,True,27.99
